KIC,Period_days,Depth_ppm,Duration_hours,Epoch,SDE,kepid,label,koi_disposition,kepmag,teff,logg,radius
10581308,92.44596948,134.4878814,11,199.0751203,6.163827396,10581308,1,CANDIDATE,13.766,5458,4.09,1.441
8572665,285.2585609,777.3932728,7,164.9911195,6.084793215,8572665,0,NONE,14.354,6217,4.434,1.041
11139692,92.7933001,380.8586884,9.5,166.2515529,6.031678429,11139692,0,NONE,14.032,4979,4.568,0.715
8607778,263.3967115,299.3605874,10.5,209.3773442,6.002019747,8607778,0,NONE,14.103,5970,4.521,0.908
9519376,274.8742228,3550.83222,7,183.8665351,5.930638761,9519376,0,NONE,13.885,6047,4.264,1.195
9943009,262.0818243,635.0098735,8,183.8873761,5.910822671,9943009,1,CANDIDATE,12.66,5927,4.117,1.53
7904473,205.7830306,464.8146225,7,183.8870129,5.907780843,7904473,0,NONE,13.94,5716,4.309,1.054
5341188,94.0177008,2186.242641,5,161.8254911,5.879894391,5341188,0,NONE,13.717,5505,4.495,0.816
9088531,283.1161697,255.9073525,11.5,183.9452013,5.790048509,9088531,0,NONE,11.749,6198,4.342,1.132
10924064,240.7596697,1354.052517,7,282.3869465,5.67958127,10924064,0,NONE,13.705,5055,4.591,0.785
6372346,231.7310895,1042.60492,7.5,259.9601728,5.661185741,6372346,0,NONE,14.427,5525,4.478,0.82
8315206,34.06550118,70.79054946,8,135.4494291,5.643357211,8315206,0,NONE,14.026,5148,4.635,0.683
6697817,232.0552077,630.9964912,8.5,258.3560378,5.523430531,6697817,1,CANDIDATE,14.322,5993,4.489,0.986
6374248,231.7766927,554.1763264,9,259.7614217,5.447665895,6374248,0,NONE,13.868,6091,4.227,1.334
6187121,92.39662409,178.8553736,10.5,167.8833025,5.403652783,6187121,0,NONE,13.48,6299,4.251,1.21
5297117,285.9132577,1872.82063,5,163.6370976,5.391786279,5297117,0,NONE,13.008,5837,4.361,1.073
7766199,285.8582063,572.8439133,6,163.7678758,5.365799283,7766199,0,NONE,13.288,5747,4.577,0.792
5944707,92.58547838,244.0567307,14,167.4919634,5.206046121,5944707,0,NONE,14.317,5170,4.623,0.704
4545738,92.76698834,215.7193636,6,166.4503859,5.159886035,4545738,0,NONE,13.907,5534,4.548,0.839
11196226,240.769283,1086.062936,5,282.3303039,5.148916324,11196226,0,NONE,12.581,6290,4.269,1.231
11953957,92.76637066,159.7981342,6.5,166.4453823,5.082130866,11953957,0,NONE,11.978,5598,4.552,0.849
3859406,92.38368525,645.3662749,6.5,169.8769941,5.045025545,3859406,0,NONE,14.075,6086,4.354,1.187
8263104,127.0662245,854.7165032,9.5,255.7304473,5.015163166,8263104,0,NONE,14.291,5750,4.431,0.906
5807846,247.0636667,430.6658253,11,291.0387711,4.985103787,5807846,0,NONE,13.325,6187,4.337,1.126
10190481,247.0026923,688.6825948,7,291.2626059,4.967782115,10190481,0,NONE,14.19,5955,4.534,0.883
8540081,78.70215622,334.9750462,9.5,134.3625421,4.946193218,8540081,0,NONE,13.574,5676,4.382,1.012
6141529,142.7257023,241.8268971,9,241.7887393,4.921505481,6141529,0,NONE,13.191,5571,4.39,0.94
8460007,57.63418014,517.9868237,8.5,134.4179354,4.918577342,8460007,0,NONE,14.342,4911,4.769,0.522
3440118,92.85709681,2469.438746,9.5,164.8205445,4.80060985,3440118,1,CONFIRMED,12.624,5839,4.247,1.173
11453791,89.71909719,181.873251,9,180.5328809,4.731089806,11453791,0,NONE,13.687,5985,4.462,0.961
7213876,92.19605339,311.3577666,6.5,169.3141729,4.7202289,7213876,0,NONE,10.976,5780,4.438,1
8081899,93.55897302,174.4245475,10,162.5335781,4.64505634,8081899,1,CONFIRMED,13.889,5492,4.576,0.812
6381240,127.0598634,312.8078108,9,255.6995867,4.595508521,6381240,0,NONE,14.289,5891,4.257,1.22
